first_col	r1	r2	r3	r4	r5
179	1	0	0	0	0
180	1	0	1	1	1
21385	0	0	0	0	1
186	1	0	1	0	0
11004	0	1	1	1	1
23096	1	1	0	0	1
20091	1	1	0	1	0
361	0	0	0	0	0
362	0	0	0	0	0
365	1	1	0	0	1
363	1	1	1	0	0
17376	0	1	0	1	1
457	1	0	1	1	0
16484	0	0	1	1	1
23097	0	1	1	1	0
21285	0	0	1	0	0
232	1	0	0	0	0
233	1	0	0	0	1
234	0	1	0	1	0
235	1	0	0	0	1
236	1	1	0	1	1
237	1	0	0	1	1
238	0	1	1	1	0
239	0	0	0	0	0
240	1	0	1	0	1
257	0	0	0	0	1
11003	0	1	1	1	1
11001	0	0	0	1	0
11002	1	1	0	0	0
2366	0	0	0	0	1
15919	1	0	0	0	1
8052	0	0	1	0	1
8056	0	1	0	0	1
1667	1	0	0	1	0
626	1	0	1	0	0
18540	0	1	0	0	1
2328	0	0	1	1	0
2329	1	1	0	0	0
2330	0	0	0	1	1
8603	0	0	1	0	1
8604	1	1	0	1	0
291	0	1	0	1	1
20093	1	0	1	1	0
292	0	1	1	0	1
15683	1	1	0	1	1
15629	1	1	1	1	1
15685	1	0	0	1	0
21727	0	0	0	1	1
24139	0	1	1	1	1
18811	1	0	1	0	1
13528	1	1	1	0	0
24262	1	0	0	0	0
18407	0	0	1	1	1
20880	1	1	0	1	1
20885	0	1	0	0	1
20886	0	1	1	1	0
25193	0	0	0	1	1
324	1	1	1	1	0
325	1	0	0	0	0
326	1	1	0	1	0
9722	1	1	1	0	0
14404	0	1	1	0	0
14412	1	0	1	1	1
341	0	0	0	0	1
343	1	1	0	0	1
344	1	1	0	0	0
4878	1	0	1	0	0
4879	0	1	0	0	1
794	1	1	0	1	1
8587	1	0	1	0	1
10980	1	1	1	1	1
10981	1	0	0	1	0
14430	0	1	1	1	0
384	0	1	1	1	0
387	1	0	0	0	0
388	0	0	1	0	1
20675	1	0	0	0	0
24437	0	1	0	0	1
10920	1	0	1	0	0
10943	0	0	1	0	0
11047	0	0	1	1	0
26441	0	0	1	1	0
11026	1	1	1	1	1
11058	0	0	1	1	1
19660	1	1	0	0	0
396	0	0	1	0	1
397	0	0	0	0	1
4188	0	0	0	1	0
18062	1	0	1	1	1
4552	1	0	0	1	1
18762	0	0	1	0	0
11057	0	0	1	0	0
11060	1	0	1	0	1
11061	1	1	1	0	1
13447	0	0	0	0	1
13448	0	0	1	0	0
13557	0	0	0	0	0
27960	0	1	1	0	1
14679	0	1	1	0	0
18044	0	0	1	1	0
18070	1	0	0	1	0
11064	0	1	0	0	0
11065	0	1	0	0	0
28697	0	1	1	1	1
380	0	1	1	0	0
15472	0	0	0	0	1
402	1	0	1	1	0
403	1	1	0	1	0
877	1	0	0	0	0
437	0	1	1	1	0
438	1	1	1	0	0
439	1	0	1	1	1
441	1	0	0	0	0
12805	1	0	0	0	0
10971	0	1	0	0	0
429	1	1	0	0	1
430	0	0	1	1	0
433	1	1	0	1	0
434	1	0	0	0	0
435	0	0	1	1	1
381	1	1	0	1	0
389	0	1	1	1	1
451	0	1	1	1	1
23657	0	1	1	0	0
20661	0	1	1	1	0
468	1	1	1	1	0
469	1	0	1	0	1
470	0	1	0	0	1
500	1	1	0	0	0
478	0	1	0	0	1
476	0	1	1	0	0
474	0	1	0	1	0
475	1	0	0	1	0
477	0	1	1	0	0
8049	1	1	1	0	0
10995	0	0	1	0	1
10998	0	1	0	0	1
10999	0	1	0	0	1
10996	0	0	0	0	1
10997	1	1	1	1	0
29957	0	1	1	1	1
663	1	1	0	0	0
664	0	0	1	1	0
746	0	1	1	0	1
758	0	1	0	0	0
10985	1	1	0	0	0
22921	0	1	1	1	0
713	0	1	1	1	1
735	1	0	0	1	1
10973	0	0	1	0	0
10974	1	1	0	1	1
16448	1	0	0	0	0
11066	1	1	1	0	0
753	1	1	0	0	1
1424	1	1	1	0	0
10939	0	1	1	1	0
10940	0	1	1	0	1
10941	0	1	0	0	0
10944	1	1	1	0	1
10945	1	1	0	0	0
3363	1	0	1	0	0
3364	0	0	0	1	1
3365	1	1	1	1	1
3367	1	0	1	0	0
3368	0	1	1	1	1
24860	1	0	0	1	0
13213	1	1	0	1	1
14247	1	1	1	1	0
18799	0	1	1	0	0
8016	0	0	1	0	1
823	0	0	1	0	1
830	1	0	1	0	0
833	1	0	0	0	1
837	0	1	0	0	1
838	0	1	1	0	1
840	0	1	0	0	0
842	1	1	0	0	0
845	0	0	0	1	0
846	0	1	1	0	0
847	0	1	0	1	0
848	0	1	0	0	1
850	1	1	1	0	1
841	1	1	0	0	1
843	1	1	0	1	1
11647	1	1	1	0	1
13527	0	0	0	0	0
13724	0	1	1	1	1
16832	0	1	1	1	0
18125	1	1	1	0	1
18264	1	0	1	0	0
18265	0	0	1	1	1
18303	0	0	0	1	0
851	0	1	1	0	1
853	1	0	0	0	1
855	0	0	1	1	1
861	1	0	1	1	1
863	1	0	1	1	1
854	1	0	0	0	1
862	0	0	0	0	1
864	0	0	0	1	0
856	1	1	0	0	0
857	1	0	1	1	0
18266	0	0	0	0	0
10990	1	1	1	1	1
10991	1	1	1	1	0
10992	0	1	0	0	0
12540	0	0	0	1	0
1664	1	1	0	1	0
7898	0	0	1	1	1
6827	0	1	1	0	0
6826	0	1	1	1	0
918	0	1	0	0	0
919	0	0	1	1	0
920	1	0	0	0	0
15684	1	0	1	1	0
932	0	0	0	1	0
4976	1	1	0	0	0
11052	0	0	1	1	0
11018	0	1	0	1	1
964	0	1	1	0	1
13815	0	0	1	1	1
1027	1	0	1	0	1
1047	1	0	0	1	1
1048	1	1	0	0	1
10961	1	0	1	1	0
1062	0	0	0	1	1
1063	1	1	1	0	0
1096	1	0	1	1	0
1122	1	1	0	1	0
11041	1	1	0	1	0
16266	1	0	0	0	1
16297	1	1	1	1	1
6831	0	0	1	1	0
11863	1	1	0	0	0
61	0	0	0	0	1
890	1	0	0	1	1
3149	1	1	1	1	0
13398	1	0	0	0	0
10545	1	1	0	0	0
814	0	1	0	0	1
815	1	1	1	0	0
816	1	1	0	1	0
817	1	0	1	0	0
14639	1	0	0	0	1
55	0	0	1	0	0
56	0	0	1	0	1
18068	0	1	1	1	1
23090	1	1	1	0	1
1516	0	1	0	1	0
11068	0	0	0	0	0
11069	1	0	1	1	1
11070	0	0	0	0	1
18871	0	0	1	0	0
24861	0	1	0	0	1
28906	0	1	0	1	1
4056	0	1	1	0	1
2323	1	0	0	1	1
1548	0	0	0	1	0
1769	1	0	0	1	0
1800	0	1	0	0	1
1801	0	0	0	1	1
17852	0	1	1	0	1
24289	0	0	0	1	0
19256	0	0	0	1	0
2205	1	1	0	0	1
10921	1	0	1	0	1
1907	1	1	1	1	1
1912	0	0	0	0	1
16815	1	1	1	0	0
8754	1	0	1	1	1
8755	1	0	1	1	0
10956	0	0	0	1	1
10905	1	0	0	1	1
10906	1	0	0	1	1
24288	0	1	0	1	1
11177	1	0	0	1	1
11178	0	1	0	0	0
6617	1	0	0	1	0
1937	0	0	0	0	1
1938	0	1	0	0	1
14025	1	1	1	0	1
10966	1	0	0	0	0
10969	1	0	1	1	1
11459	0	1	0	0	1
13886	1	1	0	1	0
13887	1	1	1	0	1
29	0	1	0	1	1
17579	0	0	0	1	1
17432	1	0	0	1	0
1936	0	0	0	0	0
10917	0	0	1	0	1
23089	0	0	0	0	1
10979	1	0	1	1	0
1995	0	1	0	1	0
1996	0	0	0	1	1
31736	1	0	1	0	1
1991	0	0	0	0	1
1994	1	1	0	1	0
1884	1	1	0	0	0
8818	1	0	1	0	1
14472	0	0	0	0	1
16148	0	0	0	1	1
11021	0	1	0	1	1
18290	1	1	0	1	1
10986	0	1	1	0	0
1864	0	0	0	0	1
18175	0	0	0	0	0
20233	1	0	0	0	1
2244	0	0	0	1	1
17973	1	0	0	1	1
4203	1	0	1	1	0
4205	0	0	0	0	1
24141	1	0	1	1	1
2321	1	0	1	1	0
11055	0	0	1	0	1
2342	1	1	1	0	0
10968	1	1	0	1	1
4696	0	0	1	1	0
2422	0	1	0	0	0
2519	1	0	0	1	1
2520	0	0	0	1	0
12582	1	0	0	1	1
12585	0	0	0	1	1
12586	1	1	1	1	0
12587	0	1	1	1	1
12590	1	0	0	1	1
2265	1	1	1	0	1
2267	0	0	1	1	0
2269	1	0	0	0	1
2277	0	1	1	0	1
2279	1	0	1	1	0
2280	1	0	1	0	0
2285	1	0	1	0	0
2288	0	0	1	1	0
2291	1	0	1	1	0
2292	1	0	1	1	0
2294	0	0	1	0	0
24381	1	0	0	1	0
24382	0	0	0	1	1
2579	1	1	1	0	0
29594	0	0	0	1	1
30862	0	1	0	0	1
30863	0	0	0	1	0
7427	1	1	1	0	0
16232	0	0	0	0	0
2287	0	0	0	1	0
2289	1	1	1	0	0
24380	0	0	0	1	0
7419	1	1	1	0	1
7421	1	0	0	1	1
7422	1	0	0	1	1
11063	1	0	0	1	1
1795	0	0	0	1	1
11025	0	0	1	0	0
11067	1	0	1	0	0
2501	1	0	0	1	0
11059	1	0	1	1	0
1550	0	1	1	1	1
23087	0	0	0	0	0
1712	1	1	1	1	1
13203	1	0	1	0	0
12562	0	0	0	1	0
14859	1	0	0	0	1
18170	0	1	0	1	1
27015	1	0	1	1	1
2849	1	0	1	0	1
2850	0	1	0	0	0
2851	1	1	0	1	1
2852	0	1	0	1	0
2853	1	0	0	1	1
2854	1	0	1	0	1
2855	0	1	1	1	1
2856	1	1	0	1	1
2857	0	1	0	0	1
2671	1	1	1	1	0
16065	0	1	1	1	1
4330	0	0	1	1	0
13312	0	1	1	1	0
2727	0	1	0	0	1
14601	0	1	1	0	1
2703	0	1	0	0	1
2704	0	0	1	1	0
2710	0	0	1	1	1
66	0	1	1	0	1
2709	0	1	0	1	1
10571	0	1	0	1	0
3575	0	0	1	0	0
3574	0	1	1	0	0
16940	1	1	0	0	0
2843	1	0	1	1	1
4693	0	1	0	1	0
2858	1	0	1	0	1
11005	1	0	1	1	0
11007	1	0	0	1	0
11009	1	1	1	1	0
4416	1	1	0	0	0
2859	1	0	0	0	0
2651	1	0	1	1	1
2860	0	0	0	1	0
13709	1	1	0	0	1
20113	0	0	1	1	1
11377	0	1	0	1	1
2861	1	0	1	0	0
2867	1	0	1	0	0
3013	0	1	1	1	0
3014	1	0	0	0	0
3015	1	0	0	0	1
9752	0	1	0	1	1
4249	1	1	1	0	1
3631	1	0	0	0	1
24475	1	1	0	1	1
2976	1	0	0	0	1
2977	1	1	0	1	1
2978	1	0	1	0	0
2979	0	1	1	1	0
14409	1	0	0	0	1
11000	1	1	0	1	0
24174	1	0	1	0	1
29567	1	1	1	1	0
23157	0	0	0	0	1
23161	0	1	0	1	1
23162	1	0	1	0	0
21063	0	1	1	0	0
2689	1	1	0	0	0
12442	1	1	1	0	1
11048	0	1	1	0	0
11049	1	1	1	0	1
10967	0	0	1	1	0
29932	0	0	0	0	0
1093	0	0	1	1	1
8888	0	0	0	1	1
8889	1	1	0	1	0
7529	1	0	0	1	1
30325	0	0	0	0	0
24269	0	0	1	0	0
3061	1	0	1	1	0
3012	1	0	1	0	0
11830	1	1	0	0	0
11831	1	1	1	1	0
23061	1	0	1	1	1
7892	1	1	1	1	1
3078	1	1	1	0	0
6176	1	0	1	0	1
16270	0	0	0	1	0
3133	0	0	1	1	0
3151	1	0	1	0	0
17	0	0	1	1	0
24622	0	1	1	1	0
3350	0	1	0	1	1
3354	0	0	1	0	0
3353	0	1	1	1	1
8756	1	1	1	1	0
38	0	0	1	1	1
10953	0	1	1	0	1
13819	0	1	1	1	0
10952	0	1	0	1	1
3481	0	1	0	1	1
3482	1	0	1	0	1
3483	0	1	0	0	0
24649	0	0	0	0	1
25575	1	1	1	1	1
19661	1	0	1	1	1
3825	1	1	1	1	0
4019	1	0	1	1	0
25625	0	0	1	0	0
3570	0	0	0	1	1
3571	1	0	0	1	1
3569	0	1	0	1	1
16496	0	0	1	1	1
16526	0	1	1	1	1
18049	0	1	0	0	1
3356	1	1	0	1	0
3358	0	0	1	1	0
14415	0	1	1	1	0
14416	0	1	1	1	0
15829	1	1	1	0	0
21308	0	1	1	1	0
23198	1	1	1	0	0
9208	1	1	0	1	0
2642	1	0	1	1	0
2644	1	1	1	0	1
88	0	0	0	1	1
10606	1	0	0	1	0
4799	0	1	1	0	0
2753	0	0	1	0	0
2754	0	1	0	1	1
121	1	0	1	0	1
17856	0	0	1	0	1
414	0	0	1	0	0
417	0	0	1	1	1
418	1	1	0	1	1
3606	0	1	1	0	1
3607	1	0	1	1	0
8872	1	0	1	0	1
8873	1	0	0	0	0
8874	1	0	1	1	0
8875	1	1	1	1	1
3647	0	1	0	0	0
3978	0	0	1	1	0
10908	0	1	0	0	1
10909	1	0	0	1	1
20797	1	0	0	1	1
4866	1	1	1	0	0
29500	0	1	0	1	0
20910	0	0	1	0	1
24671	1	0	1	0	0
45	0	1	1	0	0
10970	1	1	1	1	1
10972	0	0	0	1	1
18120	0	0	1	0	1
30521	0	0	0	0	0
3824	1	1	0	0	1
11006	1	0	0	1	0
11010	0	1	1	0	0
13445	0	1	1	0	1
13812	1	1	1	1	1
14239	1	1	0	0	0
22146	1	1	0	1	1
23155	1	1	0	1	1
3974	0	0	0	1	1
7437	1	0	0	1	1
26777	0	0	0	0	1
7432	0	1	0	1	1
21055	0	0	0	1	0
4008	1	0	1	0	0
4006	0	1	1	1	0
3700	0	0	1	0	1
3579	1	0	0	1	0
4012	0	0	1	0	1
4014	1	0	0	0	0
4020	0	1	1	1	0
924	1	1	0	1	1
925	0	0	1	0	1
926	1	1	1	1	0
928	1	1	1	1	1
4455	1	0	1	1	0
4456	0	1	1	0	0
21526	0	0	0	0	0
4417	0	0	0	0	1
4795	0	1	0	1	1
4057	1	1	1	1	1
4061	0	0	1	0	0
4136	1	0	0	1	0
24240	0	0	1	0	1
4122	0	0	0	1	1
4298	1	1	0	1	1
7758	0	1	0	0	0
9251	0	0	0	0	1
4115	0	1	1	1	0
4117	0	0	1	0	0
4118	1	1	1	0	0
4119	1	0	1	0	0
24290	1	0	1	1	1
24292	1	0	0	0	1
17198	1	1	0	0	1
24291	1	1	1	0	0
24293	1	1	0	0	0
19873	0	1	1	1	1
19875	0	1	0	0	0
19877	0	0	1	0	1
21531	0	0	0	1	0
22946	1	0	1	0	1
23242	1	0	0	0	0
4123	0	1	0	1	1
4124	0	1	0	0	1
4125	1	0	0	1	0
4126	1	1	0	0	1
4127	0	0	1	1	1
4128	1	0	1	0	1
4129	1	0	1	0	0
4130	1	1	1	1	0
4131	1	0	1	1	0
11036	0	0	1	0	1
4135	1	1	1	0	0
17978	1	1	1	1	1
930	1	1	1	0	0
12527	1	1	0	1	1
13444	1	1	0	1	0
11037	1	0	1	1	0
7043	1	1	1	1	1
24864	1	1	1	0	0
4141	0	0	1	1	0
4163	1	1	1	1	1
318	0	0	0	0	0
4177	1	0	0	1	1
20460	1	1	0	1	1
408	1	1	0	1	1
7179	1	1	1	0	0
4208	0	1	1	0	0
4313	1	1	1	0	0
473	0	1	0	1	0
4204	1	1	0	0	1
20197	1	1	1	1	0
4241	0	0	1	0	0
4242	0	1	1	1	0
12390	1	0	1	0	1
4248	0	1	1	0	0
21705	0	1	1	0	1
4699	1	0	1	1	0
4706	1	0	0	0	1
4707	0	0	1	1	1
4700	1	1	1	1	1
4260	0	1	1	0	0
10850	0	0	0	1	1
10852	1	0	0	1	0
4296	0	0	1	1	0
4180	1	0	0	0	0
5322	0	0	0	0	0
17855	0	0	1	0	0
29270	1	1	1	0	1
3512	1	1	0	0	1
3513	1	0	1	1	1
921	0	0	0	0	0
922	0	0	1	0	1
923	0	0	1	0	0
7632	0	0	1	0	0
20779	1	0	1	0	1
7680	0	1	1	1	1
7681	0	1	0	1	1
7682	1	1	0	1	1
3516	0	1	0	0	1
3518	0	1	0	0	0
3515	1	1	0	0	0
11038	0	0	1	1	1
23091	1	0	0	1	1
28750	1	0	1	0	0
321	1	0	0	1	0
21016	1	0	0	1	0
4341	1	1	1	1	0
9723	1	0	0	0	1
9725	1	1	1	0	1
9726	0	1	1	1	1
4311	0	1	0	0	1
4312	1	1	1	1	1
4335	1	1	0	1	1
4336	1	1	0	0	0
29570	0	0	0	1	0
4331	0	0	0	0	1
9238	1	0	0	1	1
4189	0	1	1	0	0
16703	0	1	1	1	1
16704	0	1	1	0	0
20151	1	0	0	0	1
10988	0	0	1	0	1
19954	0	0	0	1	0
19708	0	1	0	0	1
4809	1	0	1	1	1
4810	0	0	1	1	0
4175	0	1	0	1	0
4570	1	0	0	0	0
4289	0	1	1	0	0
4291	1	0	0	0	0
3002	1	1	0	0	1
14177	0	0	1	1	1
4805	1	1	0	0	0
8840	0	0	0	0	1
2073	1	1	0	0	1
11056	1	0	1	0	1
11051	0	1	0	0	0
4369	1	0	0	1	1
4376	1	1	0	0	0
4377	0	0	0	1	1
4378	0	1	0	0	0
8891	1	0	1	0	1
4415	1	1	0	1	1
24865	0	0	1	1	0
27168	1	1	0	1	1
28157	1	1	1	0	1
23213	1	1	1	0	1
25712	0	0	0	1	1
4623	1	1	0	1	1
4553	1	1	1	1	1
4554	1	1	0	0	1
4556	1	1	0	0	0
9352	0	1	1	1	0
9353	0	1	1	1	1
4555	0	0	1	1	1
4558	1	1	0	0	1
4559	0	1	0	1	1
9354	1	0	0	0	0
4624	1	1	1	1	1
4250	1	0	0	0	0
4193	0	0	0	1	0
4684	1	1	0	1	0
4687	1	1	1	0	0
4685	0	0	0	1	1
4686	0	0	1	0	1
4688	0	0	0	1	0
4689	0	0	1	0	1
4691	1	1	1	1	0
7943	0	1	0	0	1
7944	0	1	1	0	0
4212	1	1	0	1	1
5157	1	0	0	0	0
1368	1	1	0	0	0
1371	0	1	0	1	0
1372	0	1	0	1	1
1373	0	1	0	0	1
1374	0	0	1	0	1
1375	1	1	1	1	1
1380	1	1	0	0	0
1381	0	0	1	0	1
1383	1	0	1	0	0
14914	0	1	1	1	0
1377	0	1	0	0	1
1378	0	0	0	0	1
8967	1	1	1	0	0
13273	1	1	1	0	1
3062	0	0	1	1	1
16029	1	0	0	0	1
636	0	0	0	0	0
640	0	1	0	1	0
643	0	1	1	1	0
633	0	1	1	1	0
634	0	0	0	1	0
637	1	1	1	1	0
638	0	0	0	1	0
642	0	1	1	1	0
7103	0	1	0	0	1
23215	0	1	1	0	1
8962	1	0	0	0	0
25985	0	0	1	1	1
14937	1	0	1	0	1
14938	0	0	1	0	0
15791	0	1	0	1	1
4446	1	0	0	0	0
8965	1	1	0	0	0
30596	1	1	0	1	0
4800	0	0	0	0	0
4818	1	0	1	1	0
4819	1	0	1	1	0
4820	0	1	0	0	1
25223	0	1	0	1	1
11027	0	1	0	0	0
11028	0	0	1	0	1
11029	0	0	1	0	0
11035	1	1	1	1	0
11033	1	1	1	1	0
1663	1	0	1	1	1
23302	1	1	0	1	1
4195	1	0	1	0	0
4922	0	1	1	0	1
4923	1	1	1	0	0
4925	1	1	1	1	0
4892	1	0	0	0	0
4907	0	1	1	0	0
4806	0	0	0	0	0
4855	1	0	0	0	0
6469	1	0	1	0	1
819	0	1	1	0	0
820	1	1	1	1	1
4982	1	1	1	0	1
5006	0	0	1	1	1
5007	1	1	1	0	1
5008	1	0	1	0	0
21359	0	1	1	0	0
5005	1	1	1	1	0
5013	0	0	0	1	1
5014	0	1	1	1	1
3555	1	1	1	1	1
10818	1	1	1	0	0
5208	0	0	1	1	1
5209	0	1	0	0	0
3554	1	1	1	1	1
5210	0	0	0	1	1
5211	1	1	0	0	0
5212	0	1	0	0	0
5215	1	1	1	1	0
5217	1	1	0	1	1
5218	0	0	0	1	0
18324	0	0	0	1	1
30259	1	0	1	0	0
10984	0	1	1	1	0
12517	0	0	0	1	0
12518	0	0	1	0	0
12519	1	0	1	0	0
21065	0	0	0	1	1
5384	1	0	1	0	0
5385	0	0	1	0	1
5386	0	0	0	0	0
5382	1	1	1	1	1
5383	1	0	0	1	0
12015	0	1	1	1	0
5391	1	1	0	0	0
976	1	0	0	1	1
977	0	0	0	1	1
9225	0	0	0	1	0
6052	1	1	0	1	0
6053	0	0	1	1	1
14522	1	1	0	0	0
15956	0	0	0	1	0
23487	0	1	0	1	1
5387	0	1	0	0	1
11449	1	1	1	1	0
11450	1	1	0	0	1
11448	0	1	1	0	0
28577	0	1	0	0	1
10913	1	1	1	0	0
10914	0	1	0	1	0
10915	1	0	1	0	0
13818	1	0	0	1	1
6315	0	1	1	0	0
6381	0	0	0	0	0
17123	0	1	0	0	0
20728	1	1	1	0	0
6530	1	0	0	1	1
6522	0	1	0	1	1
18057	1	0	1	1	0
18449	1	0	1	0	0
4323	1	0	1	1	1
2648	0	0	1	1	0
6708	0	0	0	1	1
15449	0	1	1	1	1
2014	0	1	0	0	0
9035	0	1	0	1	1
17804	1	0	0	1	1
1848	1	0	0	1	0
18590	1	0	0	0	1
6619	0	0	0	1	0
6677	1	1	1	0	0
17038	0	1	1	0	1
17934	0	1	1	0	0
6622	1	0	0	0	0
6623	0	1	1	1	0
9155	1	1	1	0	1
9156	0	1	1	0	0
6685	0	0	1	1	1
12531	0	0	0	0	1
12539	1	0	0	1	0
12547	0	0	0	0	1
10547	1	1	1	0	0
6710	0	1	0	1	0
6719	1	0	0	0	0
7063	0	1	0	0	1
7064	0	0	0	1	0
10761	1	0	0	0	0
11479	1	0	0	1	1
13726	1	0	1	0	0
14129	1	1	1	0	1
17287	0	0	0	0	1
20263	0	0	0	1	0
24650	1	0	1	0	1
24948	1	1	1	0	1
29489	0	0	1	0	1
30412	0	1	0	0	0
26516	0	0	1	0	1
6824	1	1	0	1	0
6825	0	0	1	0	0
7044	0	0	0	0	1
7047	0	1	1	0	1
7048	1	1	0	1	0
7046	0	0	0	1	0
7049	1	1	0	0	0
7045	0	0	0	0	0
4643	0	1	0	0	0
4065	0	1	1	0	1
4139	1	0	1	0	0
22923	0	0	1	0	0
22932	0	0	1	1	0
6823	0	0	1	0	1
7216	1	1	1	0	1
6936	1	1	1	1	0
6937	1	1	0	0	1
7150	0	1	0	1	0
29622	0	1	1	1	1
7223	1	0	0	1	0
17836	0	0	0	0	0
6970	0	1	0	1	0
6971	1	1	0	1	0
6984	0	0	1	0	0
6983	1	0	0	1	1
6985	0	0	1	1	0
2595	0	0	0	1	0
2597	1	0	1	0	1
2596	0	0	1	1	0
6903	1	0	0	0	0
6904	1	0	0	1	0
6905	0	0	0	1	0
7468	1	0	1	0	0
7530	0	1	0	1	0
24862	1	1	0	0	1
4138	0	1	1	1	1
941	1	1	1	1	1
2620	1	0	0	1	1
20739	1	0	1	0	1
11503	1	0	1	1	0
21474	0	1	1	1	1
6076	0	1	0	0	0
6077	1	1	0	1	1
6079	0	1	1	1	0
6080	1	0	1	0	0
8956	1	1	0	1	0
6071	1	0	1	1	1
14897	1	1	1	1	1
6178	1	1	1	1	0
6179	1	0	0	0	0
6050	1	1	0	1	0
6051	0	1	0	0	0
7449	1	1	0	1	0
7450	0	0	1	0	1
29821	0	1	1	1	1
6074	0	1	1	0	0
6075	1	1	0	0	1
19080	0	1	1	0	0
6821	0	1	1	0	0
6822	1	0	0	0	0
16732	1	0	1	0	1
7526	1	0	0	1	1
18210	0	1	0	0	1
23248	0	1	1	0	1
7413	1	0	0	0	0
7434	0	1	1	1	0
7436	0	1	0	0	0
31865	1	0	0	1	1
24337	0	0	0	0	0
24104	0	0	0	1	1
756	1	0	0	0	1
8494	0	0	0	1	0
17194	0	0	1	0	0
20371	0	0	0	0	1
20372	1	1	0	0	0
23987	0	0	1	0	0
30242	1	1	1	1	0
7455	1	0	0	0	1
7456	0	1	0	1	1
7458	0	1	1	0	1
7459	0	1	0	1	1
7460	0	1	1	1	1
